ID,ID пользователя,Повод,Описание,Статус,Ограничение на сбор,Цель сбора,Собрано,Общ. кол-во пож.,Разов.,Рекур.,Дата начала сбора,Дата завершения сбора
43,288512,Просто так,На развитие донорского движения,Активный сбор,Нет,,702.00,11,11,0,01.05.2024,12.12.2112
39,1856,Особый случай,"В круговороте этих лет странно писать, как важны и нужны доноры крови.... После ковида, в годы вооруженных конфликтов и таких трагедий, как в Крокусе.
О чем стоит сказать - что это нужно регулярно, ритмично, не хаотичным процессом, запасы крови нужны до трагедий и это не просто в наших силах, это успешно работает, но требует развития. То есть нашего внимания, а ещё такие компоненты:
1.  Мотивированные люди, которым это нужно. Такие ребята в проекте donorsearch. 
2. Понятный механизм - платформа, сообщество, то, что не просто объединяет, а развивает и притягивает к себе. И это есть - это donorsearch. 
3. Слаженная работа с теми: 
а) кто уже сдает кровь регулярно - поддерживать их;
б) кто сдает от случая к случаю - способствовать им;
в) кто откладывают свой первый раз - помогать им;
г) кто мог бы сдавать - вовлекать их;
д) кто временно не может сдавать - возобновлять их;
е) кто не может сдавать - давать им возможности быть сторонниками;
ё) кто может агитировать, развивать, проводить акции, вовлекать коллектив - давать инструменты, платформу помощи и развития; 
ж) чтобы не через жопу 

Вот к этому идёт платформа, команда, доноры и сторонники donorsearch. 
И я вас очень прошу поддержать рублем это дело и своим вниманием. Вот почему:

По финляндской модели подсчёта в Москве каждый день нужны минимум 2400 сдающих (на всю Россию 21000). Донорами в России являются 10-14 человек на 1000, а для достаточного обеспечения кровью необходимо 25 на каждую 1000 чел. Сейчас в стране около 1.7 млн доноров, а нужны более 3.5 млн. 
Развитие культуры донорства это редкое комбо. Что ещё делают доноры крови? Вступают в регистры доноров костного мозга. Делают чекин здоровья. Поддерживают здравоохранение и медиков в их работе. 
Очень простой тест - понять нужно ли это. Спросить себя, а много ли доноров вы знаете? Среди коллег, знакомых, соцсетей. Их должно быть минимум 3 человека из 100... И я уверен, мы к этому придем, если будет про это думать и делать регулярно. Для этого есть donorsearch",Активный сбор,Нет,,900.00,5,4,1,16.04.2024,31.12.2030
9,246561,Просто так,Благотворительность с DonorSearch,Активный сбор,Нет,,9540.00,57,52,5,20.03.2024,20.04.2030
33,141625,Особый случай,"Помогать можно по-разному. Кто-то становится волонтером, кто-то сдает кровь. Многие в силу разных причин не могут этого сделать – нехватка веса, гемоглобина, усталость, наличие противопоказаний, - всё это не значит, что нельзя помочь иначе. Рассказывай  друзьям и коллегам про подготовку к донации, про повторное посещение станции переливания крови – чтобы работа врачей не была напрасной, чтобы запасы донорской крови не истощались. Используй информацию, подготовленную проектом Донорсерч и участвуй в развитии проекта вместе с нами.",Активный сбор,Нет,,12461.00,17,15,2,24.03.2024,31.12.2024
1,142337,Особый случай,"Друзья! Мы запустили первую версию модуля волонтерского фандрайзинга. Теперь каждый может помочь развитию DonorSearch, вовлекая в поддержку своих друзей. И своим сбором сделать значимый вклад в популяризацию донорства.

Этот модуль сборов через события, будь то День рождения, свадьба, забег, особый случай или просто так - будь это сбор на 1000 рублей с двумя пожертвованиями или на 100 000 рублей от 1000 человек - каждый сбор и каждое касание будут продолжать давать нам энергию и опору развивать DonorSearch как самое уютное пространство для доноров.

Я благодарю каждого, кто все эти годы своими активными действиями помогает проекту и лично мне: регулярные загрузки справок после донации, активность в чатах и на страницах соцсетей DonorSearch, поддержка добрыми словами и рублем. Каждое действие, это важное касание, где я чувствую тепло человека, кто тем самым говорит мне и команде - ценю и поддерживаю то, что вы делаете.",Сбор завершен,Да,50000.00,17120.00,14,11,3,15.03.2024,31.12.2024
32,176548,Просто так,"Участвовать в донорском движении можно не только сдавая кровь, но и другими способами, например, распространяя информацию о донорстве. В России есть некоммерческий сервис DonorSearch. Их задача- привлекать в донорство новых людей! Мотивируя, подсказывая, сопровождая новых доноров, и подбадривая тех, кто уже вступил на путь добра! DonorSearch - это негосударственный и некоммерческий проект , существующий на добровольных началах, а так же за счет грантов и добровольных пожертвований.
Вы можете внести свой посильный вклад, совершив донат в пользу данного проекта! Это поможет им и дальше творить добро! Из маленьких ручейков наполняются могучие реки! Вместе мы сила!",Активный сбор,Нет,,8002.00,111,109,2,22.03.2024,20.06.2024
44,155876,Особый случай,"Всем привет👋

Ежегодно 14 июня в мире отмечается Всемирный день донора крови🎁

Меня зовут Адель, я донор крови и компонентов крови и считаю очень важным развитие донорства крови🩸

Поэтому я рассказываю не только о важности донорства, но и о том, что есть сообщество доноров DonorSearch

Когда я предлагаю присоединиться к числу доноров, то иногда слышу о большом желании, но невозможности сдавать кровь/компоненты по медицинским показаниям🧑‍⚕️

Тогда я рассказываю, как еще можно помочь донорскому движению, а точнее, что можно помогать поддерживая проект DonorSearch🩸

Проект DonorSearch участвует в грантах и постепенно развивается.

Благодаря добровольным пожертвованиям от бизнеса и физических лиц проект DonorSearch может дополнительно мотивировать людей сдавать кровь, в том числе ориентируясь на мнение доноров, волонтеров, трансфузиологов и не находясь в жесткой зависимости от грантов (в том числе создавать дополнительные информационные материалы, гибко и быстро реагировать на запросы пользователей, развивать сайт и сервисы и многое-многое другое)🤗

А ещё, DonorSearch помогает донорам вести активный образ жизни, предоставляя возможность бесплатного или льготного участия в забегах по всей России, одевает в яркие беговые футболки доноров  DonorSearch, которые с гордостью можно надевать на забеги, ведь окружающие очень тепло, с поддержкой и ещё более благодарно относятся к донорам которые не только сдают кровь, но и ведут активный образ жизни🩸

Я предлагаю поддержать DonorSearch, а поводом сделать такой подарок считать 14 июня - Всемирный день донора крови🎁

Вы можете пожертвовать любую сумму или создать сбор самостоятельно.

А если вы хотите сдавать кровь в кругу единомышленников, приглашаю присоединиться к числу доноров DonorSearch:
https://donorsearch.org/pre_sign_up/?referral-code=MTU1ODc2

Спасибо вам за ваше участие!",Активный сбор,Нет,,1400.00,5,5,0,24.05.2024,14.06.2024
42,211255,Просто так,"Делитесь , все вернется   добром на добро",Сбор завершен,Нет,,933.00,3,3,0,27.04.2024,31.05.2024
40,184144,Особый случай,"20 апреля в России отмечается Национальный день донора. В этот день организуется множество донорских и просветительских мероприятий в поддержку донорства.

Люди, которые не могут сдавать кровь, могут стать волонтёрами или помочь средствами для поддержания проектов НКО.  

Каждое пожертвование расширяет возможности и позволяет больше вкладывать в популяризацию донорства. Присоединяйтесь!",Сбор завершен,Нет,,1500.00,2,1,1,20.04.2024,31.05.2024
12,152344,Особый случай,"20 апреля в России отмечается Национальный день донора. В этот день организуется множество донорских и просветительских мероприятий в поддержку донорства. 

Люди, которые не могут сдавать кровь, могут стать волонтёрами или помочь средствами для поддержания проектов НКО. 

Каждое пожертвование расширяет возможности и позволяет больше вкладывать в популяризацию донорства. Присоединяйтесь!",Сбор завершен,Нет,,1600.00,12,11,1,20.03.2024,31.05.2024
41,288954,Просто так,,Сбор завершен,Нет,,0,0,0,0,20.04.2024,01.05.2024
38,231879,Особый случай,"Донорское движение - самое мощное движение)
КРОВЬ ВО ИМЯ ЖИЗНИ 🥰🥰🥰",Сбор завершен,Нет,,300.00,1,1,0,16.04.2024,01.05.2024
29,238785,Особый случай,"Друзья! Возможно, Вам, как и мне, не очень ""повезло"": не тот фенотип, не ""такие"" вены или просто есть противопоказания по здоровью - и, увы, Вы не можете стать донором крови и её компонентов или ограничены в их сдаче. Но это не повод расстраиваться! Вы можете помочь благородному и благодарному делу  продвижения  ДОНОРСТВА КРОВИ! Поддержите донатом (тоже донация своего рода😉) сообщество DonorSearch. Организаторы и участники этого сообщества активно и успешно продвигают идею донорства в России. Но без нашей помощи им трудно. Любая сумма - главное от души - пойдет на благое дело! Тем более есть замечательный повод - 20 апреля отмечается Национальный день донора☺️
Желаю всем быть здоровыми! 🤗",Сбор завершен,Нет,,1500.00,9,7,2,20.03.2024,30.04.2024
30,279077,Особый случай,"Национальный день донора: объединимся, чтобы помочь! 

Дорогие друзья!

20-го апреля мы отмечаем Национальный день донора, который является символом солидарности и поддержки людей, готовых пожертвовать свою кровь и помочь тем, кто нуждается в ней. В этот день я хочу выразить свою благодарность всем, кто принимает участие в донорстве крови и еë компонентов🩸

Донорство крови - это не только важный акт милосердия, но и возможность спасти жизни многих людей. Каждый раз, когда кровь донора переливается нуждающемуся в ней человеку, он получает шанс на выздоровление и возвращение к нормальной жизни 😌

Я призываю всех, кто может стать донором, не оставаться в стороне и сделать свой вклад в это благородное дело. Также всех доноров и тех, кто не может стать донором по разным причинам, призываю поучаствовать в нынешнем акте милосердия и оказать помощь классному проекту, моим друзьям DonorSearch🩸

Давайте вместе сделаем этот мир немного лучше и добрее. Давайте поддержим тех, кто нуждается в помощи и поддержке! 

Спасибо всем и каждому, кто уже стал донором и продолжает помогать нуждающимся. Ваша преданность и готовность жертвовать ради других - бесценна ❤️",Активный сбор,Нет,,5700.00,29,25,4,20.03.2024,21.04.2024
16,251591,Просто так,"Без людей нет доноров, без поддержки нет DonorSearch 
Помогать донорскому движению можно не только сдавая кровь, важен любой посильный вклад в развитие проекта.  
Любая, пусть самая не большая сумма станет помощью для проката и принята с огромной благодарностью. 
Поддержи донорское движение донатом.",Активный сбор,Нет,,1000.00,3,1,2,20.03.2024,21.04.2024
31,118994,Особый случай,"20 апреля в России отмечается Национальный День Донора Крови
DonorSearch (Донор-Сёрч) - организация, которая более 10 лет активно занимается поддержкой и продвижением донорства, объединением доноров по всей стране, популяризацией донорства и здорового образа жизни, поиском доноров. Я хочу помочь этой организации и создаю сбор средств в честь дня донора крови.
Донорская кровь необходима каждый день в больницах и родильных домах, для помощи пострадавшим в ДТП, на пожарах, при авариях. При определенных состояниях здоровья может требоваться переливание крови. Чтобы не было недостатка и кто-то не остался без помощи, доноров нужно много и нужны она каждый день. Очень важно разъяснять необходимость донорства и безопасность его. Этим, и многим другим занимается  DonorSearch и этим сбором мы можем помочь увеличить количество доноров в стране, а значит больше хороших людей получит шанс на жизнь.",Активный сбор,Нет,,0,0,0,0,21.03.2024,20.04.2024
28,156744,Просто так,,Активный сбор,Нет,,1430.00,10,10,0,20.03.2024,20.04.2024
27,155876,Особый случай,"Всем привет👋 

Ежегодно 20 апреля в России отмечается Национальный день донора крови🎁

Меня зовут Адель, я донор крови и компонентов крови и считаю очень важным развитие донорства крови🩸
Поэтому я рассказываю не только о важности донорства, но и о том, что есть сообщество доноров DonorSearch

Когда я предлагаю присоединиться к числу доноров, то иногда слышу о невозможности сдавать кровь/компоненты по медицинским показаниям🧑‍⚕️
Но когда меня спрашивают, как еще можно помочь донорскому движению, то я всегда рассказываю, что можно помогать поддерживая проект DonorSearch🩸

Проект DonorSearch участвует в грантах и постепенно развивается.

Благодаря добровольным пожертвованиям проект DonorSearch может дополнительно мотивировать людей сдавать кровь, в том числе ориентируясь на мнение доноров, волонтеров, трансфузиологов и не находясь в жесткой зависимости от грантов (в том числе создавать дополнительные информационные материалы, гибко и быстро реагировать на запросы пользователей, развивать сайт и сервисы и многое-многое другое)🤗

Я предлагаю поддержать DonorSearch, а поводом сделать такой подарок считать 20 апреля - Национальный день донора крови🎁

Вы можете пожертвовать любую сумму или создать сбор самостоятельно.

Спасибо вам за ваше участие!",Активный сбор,Нет,,300.00,3,3,0,20.03.2024,20.04.2024
26,227414,Просто так,"Помогать можно не только кровью. Сбор в поддержку донорского движения.

Национальный день донора: объединимся, чтобы помочь!

Дорогие друзья!

20-го апреля мы отмечаем Национальный день донора, который является символом солидарности и поддержки людей, готовых пожертвовать свою кровь и помочь тем, кто нуждается в ней. В этот день я хочу выразить свою благодарность всем, кто принимает участие в донорстве крови и еë компонентов🩸

Донорство крови - это не только важный акт милосердия, но и возможность спасти жизни многих людей. Каждый раз, когда кровь донора переливается нуждающемуся в ней человеку, он получает шанс на выздоровление и возвращение к нормальной жизни 😌

Я призываю всех, кто может стать донором, не оставаться в стороне и сделать свой вклад в это благородное дело. Также всех доноров и тех, кто не может стать донором по разным причинам, призываю поучаствовать в нынешнем акте милосердия и оказать помощь классному проекту, моим друзьям DonorSearch🩸

Давайте вместе сделаем этот мир немного лучше и добрее. Давайте поддержим тех, кто нуждается в помощи и поддержке!

Спасибо всем и каждому, кто уже стал донором и продолжает помогать нуждающимся. Ваша преданность и готовность жертвовать ради других - бесценна",Активный сбор,Нет,,5350.00,12,10,2,20.03.2024,20.04.2024
25,3765,Особый случай,"Всех категорически приветствую, доноры и кто собирается ими стать😁

Хотел бы поделиться одним проектом, который помогает донорам и помогает стать донорами. По сути, единственная площадка, которая так массово освещает донорство и что с ним связано.

Но любому проекту нужна поддержка, так и DonorSearch она требуется, так как проект по сути живет на пожертвования доноров и просто небезразличных людей )

Скоро по сути профессиональный праздник, 20 апреля - Национальный день донора. В связи с этим, хотелось бы открыть сбор в поддержку ребят.

Присоединяетесь ,становитесь донорами,дарите добро и частичку себя.

Все прекрасного настроения и высокого гемоглобина😎",Активный сбор,Нет,,550.00,4,4,0,20.03.2024,20.04.2024
24,279206,Особый случай,"Привет! Я Алина, кадровый донор крови и плазмы. 😊

20 апреля отмечается День Донора! И по этому случаю я открываю сбор в поддержку сервиса DonorSearch.

Благодаря добровольным пожертвованиям проект DonorSearch мотивирует людей сдавать кровь,  и её компоненты, быстро реагирует на волнующие вопросы доноров и не только. 

Если ты хочешь, но не можешь по ряду причин стать донором, то ты можешь внести вклад в поддержку данного сервиса.🤗

Сделай доброе дело, внеси свой вклад в поддержу донорского движения. ❤️☺️",Активный сбор,Нет,,957.00,10,8,2,20.03.2024,20.04.2024
23,280775,Особый случай,Поддержка проекта DonorSearch❤️,Активный сбор,Нет,,700.00,13,8,5,20.03.2024,20.04.2024
22,267617,Особый случай,На поддержку ДС,Активный сбор,Нет,,0,0,0,0,20.03.2024,20.04.2024
21,282337,Особый случай,"Поддержите наше благотворительное событие: помогите спасти жизни через донорство!

   Уважаемые друзья, я обращаюсь к вам с призывом стать донором крови, вступить в реестр доноров костного мозга или поучаствовать в благотворительном сборе в поддержку организации ""Донорсёрч"", которая усердно работает над популяризацией донорского движения и спасением жизней.
   Донорство – это акт самоотверженности и сострадания, который может изменить судьбу тысяч людей. Однако, несмотря на его важность, многие из нас не осознают, насколько просто можно стать донором и как малый жест может сыграть огромную роль в чьей-то жизни.
   Организация ""Донорсёрч"" делает все возможное для того, чтобы привлечь внимание к этой проблеме, проводя информационные кампании, образовательные мероприятия и организуя благотворительные акции. Каждый из нас имеет возможность внести свой вклад в эту благородную деятельность.
   Поэтому мы приглашаем вас принять участие в нашем благотворительном сборе, который приурочен ко дню донора и продлится до 20 апреля. Весь собранный на событии доход будет направлен на поддержку проектов ""Донорсёрч"", чтобы помочь им продолжать свою деятельность и расширять свой охват.
   Вместе мы можем сделать больше! Присоединяйтесь к нам и помогите нам спасти жизни через донорство. Ваш вклад имеет значение!

   С уважением, Никита — действующий донор крови и её компонентов.",Активный сбор,Да,5000.00,650.00,5,5,0,20.03.2024,20.04.2024
15,210275,Особый случай,"Всем привет! 
Хотелось бы рассказать про очень классный проект 🩸

Без людей нет доноров, без поддержки нет DonorSearch❤

Совсем скоро, 20 апреля, ежегодно отмечается Национальный день Донора крови🩸В связи с этим прекрасным событием хотелось бы создать данный сбор. 

DonorSearch мотивирует людей становится донорами. С ними легче пройти путь от новичка до звания Почётного донора 😍 Они занимаются пропагандой «правильного» донорства, помогают в чате 24/7 в различных вопросах и самое главное - призывают бережно относиться к своему здоровью ❤

Добро даёт силы 🥰 Самое прекрасное чувство - возвращаться на донации снова и снова и дарить частичку себя. 

Прошу поддержать развитие проекта DonorSearch ❤ 
Спасибо тем, кто это сделает 🫶",Активный сбор,Нет,,11485.00,35,28,7,20.03.2024,20.04.2024
14,143468,Особый случай,Поддержка Проекта,Активный сбор,Нет,,1600.00,19,15,4,20.03.2024,20.04.2024
13,141625,Особый случай,"Всем привет! 
На связи Роман, почетный донор Москвы и России и просто волонтер.
Я считаю что волонтерство должно быть нормой жизни.

20 апреля ежегодно отмечается Национальный день донора! В этот особый день для меня и миллионов Россиян, я открываю сбор средств в поддержку сервиса DonorSearch.

Благодаря добровольным пожертвованиям проект DonorSearch может дополнительно мотивировать людей сдавать кровь, в том числе ориентируясь на мнение доноров, волонтеров, трансфузиологов и не находясь в жесткой зависимости от грантов (в том числе создавать дополнительные информационные материалы, гибко и быстро реагировать на запросы пользователей, развивать сайт и сервисы и многое-многое другое).

Я предлагаю поддержать DonorSearch, а поводом такой подарок считать 20 апреля - Национальный день донора крови.

Вы можете пожертвовать любую сумму или создать сбор самостоятельно.

Спасибо вам за ваше участие!",Активный сбор,Нет,,14139.00,12,11,1,20.03.2024,20.04.2024
11,237235,Особый случай,"Привет! Меня зовут Иван и я регулярно сдаю кровь (компоненты)  с 2020 года.

20 апреля отмечается День донора!
В связи с праздником, предлагаю поддержать проект DonorSearch.

Какая бы не была мотивация сдавать кровь (помощь людям, денежная компенсация, отгулы на работе или путь к почетному донору), помни, что сдав один раз кровь - ты спасешь жизнь людям, которым нужна ТВОЯ помощь!
Начни уже сегодня - запишись на станцию переливания крови и сдай кровь!",Активный сбор,Нет,,5000.00,14,13,1,20.03.2024,20.04.2024
10,2726,Особый случай,"Всем привет! На связи ЕленАнатольна👋. 
20 апреля в России отмечается Национальный день донора, и по этому поводу я открываю сбор в поддержку любимого проекта DonorSearch🩸. 
Цель проекта это мотивация и информирование будущих и настоящих доноров, забота и помощь. 
Без людей нет доноров, без поддержки нет DonorSearch❣️.",Активный сбор,Нет,,1500.00,11,11,0,20.03.2024,20.04.2024
8,239623,Просто так,"Привет, меня зовут Наталья. Я являюсь донором крови с 2007 года, а в 2023 вступила в ряды Почётных Доноров России. К сожалению в нашей стране на развитие донорских движений уделяется очень мало внимания и такие проекты как DonorSearch существуют только благодаря постоянным донорам.

20 апреля  мы вновь отметим День Донора! И по этому особому случаю я открываю сбор средств в поддержку сервиса DonorSearch.♥️

Если ты хочешь, но не можешь по ряду причин стать донором,то ты можешь внести вклад в поддержку этого сервиса.♥️

Помни, без людей нет доноров!",Активный сбор,Нет,,300.00,1,1,0,20.03.2024,20.04.2024
7,152420,Особый случай,Сумма сбора пойдет для развитие donorsearch,Активный сбор,Нет,,100.00,1,1,0,20.03.2024,20.04.2024
6,259421,Особый случай,"Ежегодно более 1,5 млн человек нуждается в переливании крови и ее компонентов: плазмы и тромбоцитов. Лишней крови, которую пришлось бы уничтожать, в банках почти никогда нет. В России кровь сдает всего 1,7% людей. Для того чтобы обеспечить достаточный запас крови, нужно, чтобы донорами были хотя бы 4% населения. Сдавать кровь впервые не так страшно, когда рядом есть опытный компаньон. Расскажите собеседнику о том, когда у вас подойдет время следующей сдачи крови, предложите выбрать день и вместе отправиться в пункт. Вы все время будете рядом, сможете показывать процесс на своем примере и поддерживать. Давайте поддерживать данный проект, поскольку рано или поздно каждый может нуждается в донорскрой крови.",Активный сбор,Нет,,600.00,2,2,0,20.03.2024,20.04.2024
5,220628,Особый случай,"Привет!
На связи действующий донор - Юля!🧡 
Я всегда думала,чем я могу помочь этому миру) И вот свой путь доброго дела Я начала в июле 2022 года❣️
 
К чему это я пишу,спросите вы?!) Так вот:...
20 апреля ежегодно отмечается Национальный День Донора! И по этому особому случаю я открываю сбор средств в поддержку фонда DonorSearch.❣️
 DonorSearch мотивирует людей сдавать кровь,ее компоненты и плазму, быстро реагирует на волнующие вопросы доноров и не только,в общем поддержка доноров 24/7❣️ А ещё этот проект помогает пройти путь от новичка до звания ""Почетный Донор""❣️
Благодаря этому фонду, я регулярный донор❣️
Если ты хочешь, но не можешь по ряду причин стать донором,то ты можешь внести частичку себя в поддержку и развитие этого сервиса абсолютно любой суммой,даже ваши 10 рублей будут значимы фонду❣️ Вложенные вами средства пойдут на развитие и улучшения качества данного сервиса🤗
Помни,  что герои не носят плащи! 
И Доброта у нас в крови❣️ 

Благодарю за уделённое время и ваше внимание ❣️❣️❣️",Активный сбор,Нет,,5010.00,25,20,5,20.03.2024,20.04.2024
4,260422,Особый случай,"Всем привет!

Я с детства мечтала спасать мир, но не знала как. Но не так давно я стала донором крови, и моя мечта начала сбываться)))

Конечно, не каждый может сдавать кровь и ее компоненты, но каждому по силам помочь донорскому движению.

20 апреля в России отмечается Национальный день донора крови, и я хочу рассказать вам о сообществе доноров DonorSearch.

Миссия проекта DonorSearch — сделать так, чтобы каждый день в каждый центр крови приходило нужное число доноров, поддерживая и мотивируя их. 
Без людей нет доноров, а без поддержки нет DonorSearch.

Давайте поддержим этот проект?))
Вы можете пожертвовать любую сумму, буквально 10-50-100 рублей тоже очень помогают❤️

Спасибо вам за ваше участие!",Активный сбор,Нет,,6000.00,16,15,1,20.03.2024,20.04.2024
3,149226,Особый случай,"Привет!
Ежегодно 20 апреля в России отмечается Национальный день донора крови. 
Меня зовут Оля, я донор крови и считаю очень важным развитие донорства крови и компонентов. Поэтому я рассказываю не только о важности донорства, но и о том, что есть сообщество доноров DonorSearch.
Когда я предлагаю людям стать донором крови, то иногда слышу о невозможности по ряду причин сдавать кровь/компоненты. Но когда меня спрашивают, как еще можно помочь донорскому движению, то я всегда радуюсь такому вопросу. Помогать можно путем волонтерства или, например, поддерживая проект DonorSearch.
Проект DonorSearch участвует в грантах и постепенно развивается.
Благодаря добровольным пожертвованиям проект DonorSearch может дополнительно мотивировать людей сдавать кровь, в том числе ориентируясь на мнение доноров, волонтеров, трансфузиологов и не находясь в жесткой зависимости от грантов (в том числе создавать дополнительные информационные материалы, гибко и быстро реагировать на запросы пользователей, развивать сайт и сервисы и многое-многое другое).
Я предлагаю поддержать DonorSearch, а поводом сделать такой подарок считать 20 апреля - Национальный день донора крови.
Вы можете пожертвовать любую сумму или создать сбор самостоятельно. 
Спасибо вам за ваше участие!",Активный сбор,Нет,,743.00,7,6,1,15.03.2024,20.04.2024
37,221910,День Рождения,,Активный сбор,Нет,,0,0,0,0,15.04.2024,16.04.2024
35,272712,Просто так,,Активный сбор,Нет,,0,0,0,0,25.03.2024,07.04.2024
36,287541,Просто так,"1-го апреля команда Рекорда организует большой танцевальный марафон в эфире в поддержку донорского движения в России — марафон добра «Сердечный Бит».

Донорство крови каждый год спасает жизни тысяч пациентов. Чтобы помочь, можно сдать кровь или поддержать донорство материально. Пожертвования пойдут в пользу крупнейшего в стране сообщества доноров DonorSearch: они помогут привлечь новых доноров, направить их туда, где их помощь наиболее востребована.",Активный сбор,Нет,,130541.00,201,166,35,27.03.2024,02.04.2024
2,272712,Просто так,"Сбор создан для проверки новых правок.

Здесь должно быть разделение на абзацы.",Активный сбор,Нет,,10.00,1,1,0,15.03.2024,31.03.2024
34,181008,Просто так,,Активный сбор,Нет,,0,0,0,0,25.03.2024,25.03.2024
